Table KS17 Cars or Vans*
Table population: All households
Geographical level: Output Area 

,"All households","Percentage of households with cars or vans None","Percentage of households with cars or vans One","Percentage of households with cars or vans Two","Percentage of households with cars or vans Three","Percentage of households with cars or vans Four or more","Total number of cars or vans in the area"
"SCOTLAND",2192246,34.23,43.35,18.62,2.98,0.82,2044018
"ABERDEEN CITY",97013,33.84,45.47,17.40,2.58,0.71,88532
"60QA000001",24,4.17,50.00,29.17,12.50,4.17,39
"60QA000002",64,1.56,35.94,46.88,10.94,4.69,116
"60QA000003",30,-,43.33,36.67,16.67,3.33,54
"60QA000004",22,-,27.27,31.82,36.36,4.55,49
"60QA000005",25,-,20.00,52.00,28.00,-,52
"60QA000006",41,14.63,31.71,29.27,4.88,19.51,107
"60QA000007",25,-,20.00,52.00,24.00,4.00,53
"60QA000008",36,-,36.11,41.67,11.11,11.11,73
"60QA000009",57,8.77,28.07,45.61,5.26,12.28,107
"60QA000010",28,10.71,35.71,35.71,14.29,3.57,46
"60QA000011",24,4.17,45.83,20.83,16.67,12.50,48
"60QA000012",31,-,32.26,51.61,12.90,3.23,58
"60QA000013",73,2.74,38.36,42.47,9.59,6.85,133
"60QA000014",45,20.00,44.44,28.89,2.22,4.44,57
"60QA000015",43,18.60,55.81,23.26,-,2.33,50
"60QA000016",79,30.38,62.03,7.59,-,-,61
"60QA000017",73,56.16,39.73,4.11,-,-,35
"60QA000018",59,54.24,37.29,8.47,-,-,32
"60QA000019",39,35.90,56.41,7.69,-,-,28
"60QA000020",44,43.18,52.27,4.55,-,-,27
"60QA000021",37,62.16,35.14,2.70,-,-,15
"60QA000022",39,48.72,35.90,15.38,-,-,26
"60QA000023",65,44.62,49.23,4.62,1.54,-,41
"60QA000024",65,53.85,35.38,9.23,1.54,-,38
"60QA000025",43,65.12,34.88,-,-,-,15
"60QA000026",44,75.00,25.00,-,-,-,11
"60QA000027",55,67.27,23.64,7.27,1.82,-,24
"60QA000028",65,61.54,36.92,1.54,-,-,26
"60QA000029",33,72.73,18.18,9.09,-,-,12
"60QA000030",59,69.49,30.51,-,-,-,18
"60QA000031",46,71.74,28.26,-,-,-,13
"60QA000032",59,59.32,37.29,3.39,-,-,26
"60QA000033",78,32.05,58.97,8.97,-,-,60
"60QA000034",42,59.52,26.19,9.52,2.38,2.38,30
"60QA000035",60,58.33,40.00,1.67,-,-,26
"60QA000036",68,41.18,50.00,7.35,1.47,-,47
"60QA000037",34,73.53,20.59,5.88,-,-,11
"60QA000038",39,48.72,41.03,10.26,-,-,24
"60QA000039",71,14.08,53.52,26.76,5.63,-,88
"60QA000040",58,18.97,51.72,24.14,1.72,3.45,69
"60QA000041",53,28.30,67.92,3.77,-,-,40
"60QA000042",37,32.43,51.35,10.81,-,5.41,35
"60QA000043",57,33.33,45.61,19.30,1.75,-,51
"60QA000044",53,16.98,52.83,28.30,1.89,-,61
"60QA000045",40,10.00,70.00,20.00,-,-,44
"60QA000046",52,17.31,55.77,23.08,3.85,-,59
"60QA000047",54,5.56,57.41,31.48,5.56,-,74
"60QA000048",37,8.11,40.54,35.14,13.51,2.70,61
"60QA000049",66,28.79,54.55,16.67,-,-,58
"60QA000050",67,25.37,56.72,16.42,1.49,-,63
"60QA000051",40,75.00,22.50,2.50,-,-,11
"60QA000052",62,33.87,50.00,14.52,1.61,-,52
"60QA000053",48,27.08,58.33,12.50,2.08,-,43
"60QA000054",70,37.14,48.57,11.43,2.86,-,56
"60QA000055",63,22.22,50.79,20.63,6.35,-,70
"60QA000056",70,25.71,58.57,12.86,2.86,-,65
"60QA000057",45,42.22,42.22,15.56,-,-,33
"60QA000058",46,30.43,50.00,17.39,-,2.17,43
"60QA000059",49,40.82,57.14,2.04,-,-,30
"60QA000060",44,22.73,56.82,15.91,2.27,2.27,46
"60QA000061",54,48.15,42.59,7.41,1.85,-,34
"60QA000062",43,37.21,41.86,18.60,2.33,-,37
"60QA000063",45,48.89,46.67,-,4.44,-,27
"60QA000064",75,45.33,50.67,4.00,-,-,44
"60QA000065",69,44.93,46.38,7.25,1.45,-,45
"60QA000066",59,49.15,40.68,10.17,-,-,36
"60QA000067",51,37.25,47.06,13.73,1.96,-,41
"60QA000068",43,58.14,37.21,4.65,-,-,20
"60QA000069",54,38.89,50.00,11.11,-,-,39
"60QA000070",31,45.16,41.94,12.90,-,-,21
"60QA000071",41,36.59,51.22,12.20,-,-,31
"60QA000072",47,31.91,55.32,4.26,-,8.51,52
"60QA000073",52,53.85,38.46,7.69,-,-,28
"60QA000074",65,56.92,36.92,3.08,-,3.08,38
"60QA000075",43,34.88,48.84,16.28,-,-,35
"60QA000076",80,77.50,17.50,5.00,-,-,22
"60QA000077",34,52.94,44.12,2.94,-,-,17
"60QA000078",68,30.88,48.53,17.65,2.94,-,63
"60QA000079",35,68.57,28.57,2.86,-,-,12
"60QA000080",60,61.67,30.00,5.00,1.67,1.67,31
"60QA000081",35,60.00,40.00,-,-,-,14
